,MarketID,MarketSize,LocationID,AgeOfStore,Promotion,week,SalesInThousands
330,7,Medium,603,4,2,3,41.44
331,7,Medium,603,4,2,4,25.7
332,7,Medium,604,11,3,1,40.29
333,7,Medium,604,11,3,2,48.35
334,7,Medium,604,11,3,3,43.26
335,7,Medium,604,11,3,4,44.2
336,7,Medium,605,8,3,1,46.14
337,7,Medium,605,8,3,2,41.12
338,7,Medium,605,8,3,3,45.03
339,7,Medium,605,8,3,4,38.85
340,7,Medium,606,8,3,1,41.96
341,7,Medium,606,8,3,2,42.27
342,7,Medium,606,8,3,3,38.51
343,7,Medium,606,8,3,4,43.51
344,7,Medium,607,3,2,1,49.39
345,7,Medium,607,3,2,2,40.25
346,7,Medium,607,3,2,3,42.46
347,7,Medium,607,3,2,4,31.62
348,7,Medium,608,18,1,1,53.38
349,7,Medium,608,18,1,2,55.31
350,7,Medium,608,18,1,3,56.1
351,7,Medium,608,18,1,4,43.24
352,7,Medium,609,9,1,1,48.18
353,7,Medium,609,9,1,2,43.11
354,7,Medium,609,9,1,3,43.78
355,7,Medium,609,9,1,4,56.9
356,7,Medium,610,4,1,1,53.53
357,7,Medium,610,4,1,2,47.92
358,7,Medium,610,4,1,3,56.18
359,7,Medium,610,4,1,4,46.66
360,7,Medium,611,11,3,1,40.43
361,7,Medium,611,11,3,2,51.15
362,7,Medium,611,11,3,3,42.5
363,7,Medium,611,11,3,4,52.76
364,7,Medium,612,1,3,1,47.63
365,7,Medium,612,1,3,2,52.21
366,7,Medium,612,1,3,3,40.17
367,7,Medium,612,1,3,4,48.36
368,7,Medium,613,18,1,1,42.76
369,7,Medium,613,18,1,2,50.52
370,7,Medium,613,18,1,3,56.86
371,7,Medium,613,18,1,4,47.51
372,7,Medium,614,8,2,1,38.56
373,7,Medium,614,8,2,2,37.29
374,7,Medium,614,8,2,3,35.6
375,7,Medium,614,8,2,4,33.35
376,7,Medium,615,1,2,1,48.5
377,7,Medium,615,1,2,2,36.8
378,7,Medium,615,1,2,3,48.32
379,7,Medium,615,1,2,4,41.54
380,8,Medium,701,1,3,1,53.56
381,8,Medium,701,1,3,2,49.72
382,8,Medium,701,1,3,3,48.77
383,8,Medium,701,1,3,4,46.84
384,8,Medium,702,13,1,1,51.82
385,8,Medium,702,13,1,2,45.02
386,8,Medium,702,13,1,3,49.44
387,8,Medium,702,13,1,4,51.32
388,8,Medium,703,4,1,1,52.85
389,8,Medium,703,4,1,2,40.84
390,8,Medium,703,4,1,3,64.45
391,8,Medium,703,4,1,4,44.43
392,8,Medium,704,27,1,1,56.64
393,8,Medium,704,27,1,2,46.06
394,8,Medium,704,27,1,3,55.46
395,8,Medium,704,27,1,4,51.41
396,8,Medium,705,22,3,1,49.67
397,8,Medium,705,22,3,2,49.98
398,8,Medium,705,22,3,3,49.5
399,8,Medium,705,22,3,4,47.35
400,8,Medium,706,17,3,1,50.26
401,8,Medium,706,17,3,2,52.05
402,8,Medium,706,17,3,3,51.14
403,8,Medium,706,17,3,4,46.3
404,8,Medium,707,5,1,1,56.99
405,8,Medium,707,5,1,2,45.57
406,8,Medium,707,5,1,3,45.92
407,8,Medium,707,5,1,4,50.52
408,8,Medium,708,15,2,1,32.61
409,8,Medium,708,15,2,2,57.27
410,8,Medium,708,15,2,3,37.32
411,8,Medium,708,15,2,4,41.22
412,8,Medium,709,1,2,1,39.73
413,8,Medium,709,1,2,2,50.3
414,8,Medium,709,1,2,3,40.16
415,8,Medium,709,1,2,4,41.37
416,8,Medium,710,24,3,1,54.79
417,8,Medium,710,24,3,2,52.39
418,8,Medium,710,24,3,3,42.15
419,8,Medium,710,24,3,4,49.63
420,8,Medium,711,1,1,1,54.95
421,8,Medium,711,1,1,2,55.78
422,8,Medium,711,1,1,3,46.49
423,8,Medium,711,1,1,4,56.84
424,8,Medium,712,9,3,1,48.06
425,8,Medium,712,9,3,2,51.09
426,8,Medium,712,9,3,3,44.19
427,8,Medium,712,9,3,4,49.52
428,9,Medium,801,3,1,1,65.11
429,9,Medium,801,3,1,2,54.38
430,9,Medium,801,3,1,3,57.14
431,9,Medium,801,3,1,4,49.91
432,9,Medium,802,9,2,1,48.76
433,9,Medium,802,9,2,2,44.14
434,9,Medium,802,9,2,3,58.1
435,9,Medium,802,9,2,4,44.16
436,9,Medium,803,10,3,1,44.66
437,9,Medium,803,10,3,2,53.78
438,9,Medium,803,10,3,3,43.91
439,9,Medium,803,10,3,4,52.41
440,9,Medium,804,1,1,1,50.54
441,9,Medium,804,1,1,2,58.43
442,9,Medium,804,1,1,3,59.77
443,9,Medium,804,1,1,4,60.44
444,9,Medium,805,6,3,1,50.94
445,9,Medium,805,6,3,2,49.38
446,9,Medium,805,6,3,3,63.98
447,9,Medium,805,6,3,4,45.84
448,9,Medium,806,5,3,1,51.01
449,9,Medium,806,5,3,2,56.16
450,9,Medium,806,5,3,3,45.77
451,9,Medium,806,5,3,4,46.47
452,9,Medium,807,1,2,1,46.02
453,9,Medium,807,1,2,2,51.09
454,9,Medium,807,1,2,3,51.68
455,9,Medium,807,1,2,4,55.91
456,9,Medium,808,20,3,1,55.9
457,9,Medium,808,20,3,2,59.8
458,9,Medium,808,20,3,3,60.97
459,9,Medium,808,20,3,4,64.14
460,9,Medium,809,9,3,1,39.98
461,9,Medium,809,9,3,2,54.58
462,9,Medium,809,9,3,3,52.64
463,9,Medium,809,9,3,4,45.43
464,9,Medium,810,13,1,1,49.3
465,9,Medium,810,13,1,2,61.8
466,9,Medium,810,13,1,3,58.0
467,9,Medium,810,13,1,4,55.2
468,10,Large,901,7,2,1,53.76
469,10,Large,901,7,2,2,39.36
470,10,Large,901,7,2,3,47.2
471,10,Large,901,7,2,4,53.66
472,10,Large,902,1,1,1,61.53
473,10,Large,902,1,1,2,59.17
474,10,Large,902,1,1,3,63.73
475,10,Large,902,1,1,4,61.77
476,10,Large,903,7,3,1,51.89
477,10,Large,903,7,3,2,51.17
478,10,Large,903,7,3,3,54.33
479,10,Large,903,7,3,4,50.05
480,10,Large,904,10,2,1,51.09
481,10,Large,904,10,2,2,54.82
482,10,Large,904,10,2,3,44.16
483,10,Large,904,10,2,4,53.95
484,10,Large,905,2,3,1,54.34
485,10,Large,905,2,3,2,60.24
486,10,Large,905,2,3,3,56.39
487,10,Large,905,2,3,4,58.33
488,10,Large,906,13,2,1,51.26
489,10,Large,906,13,2,2,51.73
490,10,Large,906,13,2,3,51.35
491,10,Large,906,13,2,4,41.85
492,10,Large,907,10,2,1,45.21
493,10,Large,907,10,2,2,55.02
494,10,Large,907,10,2,3,45.35
495,10,Large,907,10,2,4,47.06
496,10,Large,908,3,2,1,43.59
497,10,Large,908,3,2,2,46.03
498,10,Large,908,3,2,3,47.22
499,10,Large,908,3,2,4,51.41
500,10,Large,909,1,1,1,58.19
501,10,Large,909,1,1,2,62.72
502,10,Large,909,1,1,3,66.66
503,10,Large,909,1,1,4,64.66
504,10,Large,910,1,1,1,66.34
505,10,Large,910,1,1,2,60.59
506,10,Large,910,1,1,3,61.95
507,10,Large,910,1,1,4,67.84
508,10,Large,911,1,2,1,55.39
509,10,Large,911,1,2,2,49.16
510,10,Large,911,1,2,3,58.26
511,10,Large,911,1,2,4,48.12
512,10,Large,912,6,2,1,49.98
513,10,Large,912,6,2,2,44.84
514,10,Large,912,6,2,3,55.12
515,10,Large,912,6,2,4,47.36
516,10,Large,913,24,1,1,62.33
517,10,Large,913,24,1,2,53.68
518,10,Large,913,24,1,3,62.37
519,10,Large,913,24,1,4,63.58
520,10,Large,914,9,2,1,44.7
521,10,Large,914,9,2,2,43.44
522,10,Large,914,9,2,3,52.36
523,10,Large,914,9,2,4,45.9
524,10,Large,915,3,1,1,53.51
525,10,Large,915,3,1,2,49.76
526,10,Large,915,3,1,3,68.31
527,10,Large,915,3,1,4,66.1
528,10,Large,916,7,2,1,43.61
529,10,Large,916,7,2,2,46.2
530,10,Large,916,7,2,3,51.52
531,10,Large,916,7,2,4,49.71
532,10,Large,917,14,3,1,53.5
533,10,Large,917,14,3,2,56.34
534,10,Large,917,14,3,3,51.83
535,10,Large,917,14,3,4,50.2
536,10,Large,918,6,1,1,49.62
537,10,Large,918,6,1,2,62.54
538,10,Large,918,6,1,3,50.11
539,10,Large,918,6,1,4,61.63
540,10,Large,919,2,1,1,59.87
541,10,Large,919,2,1,2,62.99
542,10,Large,919,2,1,3,57.2
543,10,Large,919,2,1,4,64.34
544,10,Large,920,14,2,1,50.2
545,10,Large,920,14,2,2,45.75
546,10,Large,920,14,2,3,44.29
547,10,Large,920,14,2,4,49.41
